phase,sample,vram_used_bytes,vram_total_bytes,vram_used_pct
cold_idle,1,11681792,8573157376,0.14
cold_idle,2,11681792,8573157376,0.14
cold_idle,3,11681792,8573157376,0.14
cold_idle,4,11681792,8573157376,0.14
cold_idle,5,11681792,8573157376,0.14
cold_idle,6,11681792,8573157376,0.14
cold_idle,7,11681792,8573157376,0.14
cold_idle,8,11681792,8573157376,0.14
cold_idle,9,11681792,8573157376,0.14
cold_idle,10,11681792,8573157376,0.14
warm_idle,1,5723795456,8573157376,66.76
warm_idle,2,5723795456,8573157376,66.76
warm_idle,3,5723795456,8573157376,66.76
warm_idle,4,5723795456,8573157376,66.76
warm_idle,5,5723795456,8573157376,66.76
warm_idle,6,5723795456,8573157376,66.76
warm_idle,7,5723795456,8573157376,66.76
warm_idle,8,5723795456,8573157376,66.76
warm_idle,9,5723795456,8573157376,66.76
warm_idle,10,5723795456,8573157376,66.76
under_load,1,5723795456,8573157376,66.76
under_load,2,5723795456,8573157376,66.76
under_load,3,5723795456,8573157376,66.76
under_load,4,5723795456,8573157376,66.76
under_load,5,5723795456,8573157376,66.76
under_load,6,5723795456,8573157376,66.76
under_load,7,5723795456,8573157376,66.76
under_load,8,5723795456,8573157376,66.76
under_load,9,5723795456,8573157376,66.76
under_load,10,5723795456,8573157376,66.76
